course_id;course_name;course_type;course_period;vacancies;campus;city;state_uf;university;uni_abrev
119375;CIÊNCIAS CONTÁBEIS;Bacharelado;Integral;25;CAMPUS GOVERNADOR VALADARES - PITÁGORAS;Governador Valadares;MG;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF
119376;ENGENHARIA CIVIL;Bacharelado;Integral;25;UNIVERSIDADE FEDERAL DE JUIZ DE FORA - CAMPUS SEDE;Juiz de Fora;MG;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF
119377;DIREITO;Bacharelado;Noturno;25;UNIVERSIDADE FEDERAL DE JUIZ DE FORA - CAMPUS SEDE;Juiz de Fora;MG;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF
119378;ABI - CIÊNCIAS BIOLÓGICAS;Área Básica de Ingresso (ABI);Integral;15;UNIVERSIDADE FEDERAL DE JUIZ DE FORA - CAMPUS SEDE;Juiz de Fora;MG;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF
119379;ABI - GEOGRAFIA;Área Básica de Ingresso (ABI);Integral;22;UNIVERSIDADE FEDERAL DE JUIZ DE FORA - CAMPUS SEDE;Juiz de Fora;MG;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF
119381;ABI - FILOSOFIA;Área Básica de Ingresso (ABI);Integral;17;UNIVERSIDADE FEDERAL DE JUIZ DE FORA - CAMPUS SEDE;Juiz de Fora;MG;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF
119383;ADMINISTRAÇÃO;Bacharelado;Noturno;20;UNIVERSIDADE FEDERAL DE JUIZ DE FORA - CAMPUS SEDE;Juiz de Fora;MG;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF
119384;ODONTOLOGIA;Bacharelado;Integral;20;CAMPUS GOVERNADOR VALADARES - UNIPAC;Governador Valadares;MG;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF
119385;ENGENHARIA COMPUTACIONAL;Bacharelado;Integral;10;UNIVERSIDADE FEDERAL DE JUIZ DE FORA - CAMPUS SEDE;Juiz de Fora;MG;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF
119386;ADMINISTRAÇÃO;Bacharelado;Integral;20;UNIVERSIDADE FEDERAL DE JUIZ DE FORA - CAMPUS SEDE;Juiz de Fora;MG;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF
119387;ESTATÍSTICA;Bacharelado;Integral;10;UNIVERSIDADE FEDERAL DE JUIZ DE FORA - CAMPUS SEDE;Juiz de Fora;MG;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF
119388;ABI - GEOGRAFIA;Área Básica de Ingresso (ABI);Noturno;22;UNIVERSIDADE FEDERAL DE JUIZ DE FORA - CAMPUS SEDE;Juiz de Fora;MG;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF
119390;ODONTOLOGIA;Bacharelado;Integral;25;UNIVERSIDADE FEDERAL DE JUIZ DE FORA - CAMPUS SEDE;Juiz de Fora;MG;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF
119392;NUTRIÇÃO;Bacharelado;Integral;20;CAMPUS GOVERNADOR VALADARES - PITÁGORAS;Governador Valadares;MG;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF
119393;CIÊNCIAS ECONÔMICAS;Bacharelado;Noturno;26;UNIVERSIDADE FEDERAL DE JUIZ DE FORA - CAMPUS SEDE;Juiz de Fora;MG;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;UFJF
119554;QUÍMICA;Licenciatura;Noturno;24;CAMPUS  - UNIÃO DA VITÓRIA - CENTRO;União da Vitória;PR;UNIVERSIDADE ESTADUAL DO PARANÁ;UNESPAR
119555;SECRETARIADO EXECUTIVO;Bacharelado;Noturno;25;CAMPUS DE APUCARANA;Apucarana;PR;UNIVERSIDADE ESTADUAL DO PARANÁ;UNESPAR
119556;CIÊNCIAS CONTÁBEIS;Bacharelado;Noturno;25;CAMPUS DE APUCARANA;Apucarana;PR;UNIVERSIDADE ESTADUAL DO PARANÁ;UNESPAR
119557;PEDAGOGIA;Licenciatura;Matutino;20;CAMPUS DE CAMPO MOURÃO;Campo Mourão;PR;UNIVERSIDADE ESTADUAL DO PARANÁ;UNESPAR
